Site,Duration,Start date,End date,intensity_mean,intensity_max,intensity_cumulative,rate_onset,rate_decline,
Port St Francis,12,2017-12-09,2017-12-09,2017-12-20,-3.6459,-6.5036,-43.7508,-7.8747,-0.3991
Port St Francis,11,2021-03-30,2021-03-31,2021-04-09,-3.3175,-5.6726,-36.493,-2.5074,-0.4807
Port St Francis,6,2019-12-14,2019-12-15,2019-12-19,-4.7864,-6.5573,-28.7184,-3.1601,-0.7622
Port St Francis,6,2019-02-08,2019-02-12,2019-02-13,-4.763,-5.6407,-28.5778,-0.8503,-1.9383
Port St Francis,5,2017-02-25,2017-02-25,2017-03-01,-5.4533,-7.8085,-27.2667,-5.7892,-1.0125
Port St Francis,5,2015-03-04,2015-03-05,2015-03-08,-4.9897,-6.1253,-24.9487,-3.1936,-0.8769
Port St Francis,5,2014-12-11,2014-12-12,2014-12-15,-2.9057,-4.1813,-14.5287,-1.9515,-0.6441
Seaview,11,2016-01-12,2016-01-12,2016-01-22,-5.7005,-7.316,-62.705,-5.4753,-0.3287
Seaview,8,2013-12-08,2013-12-09,2013-12-15,-4.7879,-6.1193,-38.3028,-2.2384,-0.5495
Seaview,7,2017-12-07,2017-12-08,2017-12-13,-4.7489,-6.3997,-33.2424,-2.2527,-0.5908
Seaview,5,2020-01-20,2020-01-22,2020-01-24,-5.9256,-7.163,-29.6281,-1.8732,-1.052
Seaview,5,2019-12-10,2019-12-11,2019-12-14,-4.8576,-5.5621,-24.2878,-3.2693,-0.3978
Thyspunt,9,2012-12-11,2012-12-15,2012-12-19,-5.4403,-7.3863,-48.963,-0.84,-0.7824
Thyspunt,7,2013-12-08,2013-12-13,2013-12-14,-5.6993,-6.6741,-39.8951,-0.6054,-1.3979
Thyspunt,7,2016-01-15,2016-01-16,2016-01-21,-5.0287,-5.8414,-35.2009,-1.4836,-0.3475
Thyspunt,6,2014-12-06,2014-12-08,2014-12-11,-5.3364,-6.9518,-32.0182,-1.7239,-0.9712
Thyspunt,6,2015-03-03,2015-03-03,2015-03-08,-5.0426,-5.7236,-30.2553,-1.8228,-0.2883
Thyspunt,5,2015-03-29,2015-03-31,2015-04-02,-5.6855,-7.6153,-28.4274,-1.9384,-1.6576
